name	age	causative	random
Dominic	28	3.0	0.8571428571428571
Dominic	29	2.1176470588235294	1.894736842105263
Dominic	30	1.6923076923076923	1.6923076923076923
Dominic	31	1.3333333333333333	1.3333333333333333
Dominic	32	2.533333333333333	2.142857142857143
Dominic	33	2.3636363636363638	1.0
Dominic	34	2.769230769230769	1.6363636363636365
Dominic	35	1.6666666666666667	0.0
Gail	24	1.3333333333333333	1.0
Gail	25	1.6666666666666667	1.8461538461538463
Gail	26	0.5	0.5
Gail	27	2.2666666666666666	1.5384615384615385
Gail	28	1.3333333333333333	2.0
Gail	29	2.5	0.0
Gail	30	2.1333333333333333	1.7142857142857142
Gail	31	0.6666666666666666	0.0
Gail	32	1.7333333333333334	0.4
Gail	33	1.0	0.0
Gail	34	2.769230769230769	1.1111111111111112
Gail	35	1.0	1.4285714285714286
Joel	23	2.4444444444444446	0.0
Joel	24	2.235294117647059	1.0
Joel	25	2.1818181818181817	1.5555555555555556
Joel	26	1.5	1.0
Joel	27	1.5384615384615385	0.8
Joel	28	2.4444444444444446	1.4285714285714286
Joel	29	2.3636363636363638	0.8333333333333334
Joel	30	2.125	1.4666666666666666
Joel	31	2.857142857142857	1.3846153846153846
Joel	32	2.0	2.533333333333333
Joel	33	2.7058823529411766	1.0
Joel	34	2.0	0.0
John	23	0.0	1.3333333333333333
John	24	0.6666666666666666	1.5
John	25	0.0	0.0
John	26	2.9411764705882355	1.0909090909090908
John	27	2.25	1.3333333333333333
John	28	1.1428571428571428	0.0
John	29	1.1428571428571428	0.6666666666666666
John	30	1.8461538461538463	1.3333333333333333
John	31	2.2857142857142856	1.3333333333333333
John	32	2.1538461538461537	1.1111111111111112
John	33	2.2666666666666666	1.6666666666666667
John	34	2.0	1.875
John	35	1.8181818181818181	0.5714285714285714
Liz	23	0.0	0.0
Liz	24	1.0	0.0
Liz	25	2.4	0.0
Liz	26	1.3333333333333333	1.2
Liz	27	1.6	2.3333333333333335
Liz	28	2.0	1.8181818181818181
Liz	29	0.0	0.0
Liz	30	1.7142857142857142	0.6666666666666666
Liz	31	0.0	0.0
Liz	32	0.0	0.0
